T1,T2,pseudoF,pval,False_Discovery_Rate
CC027_Egg,CC027_Peanut,4.188723744966815,9.99990000099999e-6,4.4999550004499957e-4
CC027_Egg,C3H_Peanut,6.091605736214194,5.999940000599994e-5,0.001049989500104999
CC027_Egg,C3H_Egg,4.48936563951963,6.999930000699993e-5,0.001049989500104999
CC027_Egg,C3H_Milk,4.930545714538141,1.6999830001699983e-4,0.001912480875191248
CC027_Peanut,C3H_Milk,3.344258656763856,2.2999770002299976e-4,0.0020699793002069977
CC027_Egg,C3H_PBS,5.901000174379634,2.999970000299997e-4,0.0022499775002249975
CC027_Egg,CC027_Milk,3.840250599827016,8.499915000849992e-4,0.0054642310719749945
CC027_Egg,C3H_Walnut,3.742672177789231,0.0016699833001669983,0.009393656063439365
CC027_PBS,C3H_Peanut,2.7076448142299085,0.0025999740002599974,0.012999870001299988
CC027_Peanut,C3H_Walnut,2.541383177651515,0.003869961300386996,0.016469835301646984
CC027_Milk,C3H_Milk,2.5868386387022824,0.004469955300446996,0.016469835301646984
CC027_PBS,CC027_Egg,2.8591065280383754,0.005219947800521995,0.016469835301646984
CC027_Peanut,C3H_Peanut,2.2055222574202484,0.005249947500524995,0.016469835301646984
CC027_Milk,C3H_Walnut,2.8546431140575277,0.005309946900530995,0.016469835301646984
CC027_Egg,CC027_Walnut,3.4146603000380336,0.005489945100548995,0.016469835301646984
CC027_Peanut,C3H_PBS,2.338532634140717,0.006789932100678993,0.01909668403315967
C3H_Peanut,C3H_Walnut,2.5460688262023226,0.007289927100728993,0.01929686585487086
CC027_Milk,C3H_Peanut,2.019132809707394,0.011819881801181988,0.02859721402785972
C3H_PBS,C3H_Walnut,2.583659431044912,0.012579874201257987,0.02859721402785972
C3H_Peanut,C3H_Milk,2.420479907605722,0.012709872901270987,0.02859721402785972
CC027_Milk,C3H_PBS,2.165232495134234,0.013839861601383986,0.02965684628867997
CC027_PBS,CC027_Peanut,2.346468726751334,0.015139848601513985,0.030967872139460423
CC027_PBS,C3H_Milk,1.9840002070087335,0.016019839801601984,0.031343164829221275
CC027_PBS,C3H_PBS,2.3999135095955713,0.017519824801751984,0.03284967150328497
CC027_Walnut,C3H_PBS,2.585830952321987,0.018289817101828983,0.03292167078329217
CC027_Peanut,C3H_Egg,1.9066866133390663,0.024969750302496974,0.04321687552355246
CC027_Milk,C3H_Egg,1.9778913227225339,0.03135968640313597,0.05226614400522661
CC027_PBS,CC027_Milk,1.9561508498377702,0.03928960710392896,0.06314401141702869
CC027_Walnut,C3H_Milk,2.270761179380659,0.04926950730492695,0.07645268374902457
C3H_Walnut,C3H_Milk,1.7983073110775178,0.058789412105878944,0.08818411815881841
C3H_PBS,C3H_Peanut,1.5250240882216262,0.07837921620783792,0.11377628159202278
CC027_Walnut,C3H_Peanut,1.7604537202336106,0.1037289627103729,0.1458688538114619
C3H_Egg,C3H_Peanut,1.521868612147437,0.12219877801221987,0.16663469728939073
CC027_PBS,C3H_Egg,1.465662391264809,0.14499855001449985,0.19190984560742627
CC027_Walnut,C3H_Egg,1.4510701470607632,0.16461835381646184,0.2116521691925938
C3H_PBS,C3H_Milk,1.4048250511145373,0.17737822621773783,0.22172278277217228
CC027_Walnut,C3H_Walnut,1.408159612296814,0.18603813961860383,0.22626260223884248
CC027_PBS,C3H_Walnut,1.368859741379185,0.1921080789192108,0.22749640924643383
C3H_Egg,C3H_Milk,1.2369564118253662,0.25089749102508974,0.2880871191288087
CC027_PBS,CC027_Walnut,1.2349430015291953,0.2560774392256077,0.2880871191288087
CC027_Peanut,CC027_Milk,1.085058386426861,0.3793262067379326,0.4163336415416334
C3H_Egg,C3H_Walnut,0.9214106559391404,0.5192948070519294,0.5508572821248532
CC027_Peanut,CC027_Walnut,0.8355202083293101,0.5263747362526374,0.5508572821248532
C3H_PBS,C3H_Egg,0.8873137780975372,0.5437245627543724,0.5560819391806081
CC027_Walnut,CC027_Milk,0.6068544233105696,0.7346026539734603,0.7346026539734603
