Strain,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230
CC027,5158,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,195,4391,0,0,2,2,3006,0,8925,0,4353,0,0,549,0,172,1395,1718,0,16475,5203,0,0,22,24960,9859,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1710,0,0,0,0,0,0,0,0,0,0,0,0,0,19513,23366,0,832,0,18,13,0,0,12009,10516,15,0,0,0,330,0,0,0,0,0,0,0,0,674,6,12774,0,0,113,0,436,0,0,956,279,43,0,0,0,1275,0,0,0,0,8,1022,169,0,0,0,0,0,698,4083,64,3112,0,0,0,0,0,1332,5,15,198,1411,0,114,0,0,0,5,38,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,555,4780,0,0,0,0,6880,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8911,0,0,7815,1001,0,1391,0,0,0
CC027,782,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,0,0,669,3421,0,0,3,0,3761,0,4047,6,4478,0,0,464,0,306,991,2868,0,11434,5298,0,0,51,42622,8418,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,654,0,0,0,0,0,0,0,0,0,0,0,11,0,8210,10899,10,664,0,0,0,0,0,5273,6912,4,0,0,0,466,0,0,0,0,0,0,0,0,185,16,3203,0,168,15,0,9,0,0,219,167,0,0,0,0,1357,0,0,0,0,0,553,182,0,19,0,0,0,703,4005,247,586,0,0,0,0,0,715,15,25,199,2680,0,0,0,0,0,11,75,0,0,0,0,0,0,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,0,0,0,0,0,0,0,0,0,125,3218,0,0,0,3,6857,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6508,0,0,1696,3922,0,1010,0,0,0
CC027,4037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,506,5289,0,0,0,8,2800,0,7369,2,5723,0,0,1011,0,133,1624,5043,0,12304,7270,0,0,27,25237,8489,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,11,0,19705,16715,0,723,0,0,5,0,0,9582,7639,0,0,0,0,353,0,0,0,0,0,0,0,0,108,11,2044,0,2156,54,0,35,0,0,205,114,0,0,0,0,1364,0,0,0,0,0,216,174,0,0,0,0,0,284,2000,80,599,0,0,0,0,0,754,6,10,861,1643,0,52,0,0,0,52,47,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,0,0,0,0,0,0,0,0,0,52,1314,0,0,0,0,17407,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10624,0,0,5770,8311,0,1353,0,0,0
CC027,4892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,260,0,0,440,3791,0,0,0,0,664,0,6011,0,1333,0,0,751,0,256,1324,1038,0,13661,3775,0,0,67,40595,7621,4748,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,143,0,0,0,0,0,0,0,0,3,0,0,0,0,14827,18923,0,1231,0,0,8,0,0,6790,7317,4,0,12,0,136,0,4,0,21,0,0,12,0,129,9,924,0,165,0,0,203,0,0,1542,38,0,0,13,0,1408,0,0,0,0,0,896,744,0,0,0,10,0,887,1533,118,1114,0,0,0,0,0,507,0,34,273,3821,0,20,0,0,0,15,77,0,0,0,0,0,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,22,5200,0,0,0,0,17242,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5435,0,0,6637,1182,0,183,0,0,0
CC027,2303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735,0,0,472,6060,0,0,0,8,761,0,11121,5,8698,0,0,2149,0,1220,1481,11804,0,25897,7921,0,0,0,79604,7676,18403,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,222,0,0,0,0,0,14,0,0,0,0,0,0,4,15885,20885,0,1083,0,0,13,0,0,9241,17746,5,0,0,0,844,0,9,0,0,0,0,0,0,281,19,1964,0,0,94,0,19,0,0,6028,51,29,0,0,0,2228,7,0,0,0,0,3477,2038,5,34,0,0,0,696,8012,0,723,570,0,0,0,0,1709,9,22,3685,975,0,135,0,0,0,227,508,0,0,0,0,0,0,903,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,682,2,0,0,0,0,0,0,0,0,338,542,0,0,0,0,11730,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9680,0,0,11929,7084,0,5853,0,0,0
CC027,4104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,388,3643,0,0,0,0,1691,0,192,0,799,0,0,378,0,27,82,107,0,12262,5289,0,0,7,19490,15479,1495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,11950,12766,0,823,0,0,0,0,0,11544,4285,0,0,0,0,123,0,0,14,0,0,0,0,0,267,0,2657,0,249,28,0,59,0,0,4178,58,0,0,35,0,802,0,0,0,0,0,2522,311,0,0,0,7,0,529,1398,63,525,0,0,0,8,0,303,0,6,1339,1952,0,5,0,0,0,35,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,2,0,0,0,173,2774,0,0,0,3,21638,19,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,9338,0,0,8651,889,0,1002,0,0,0
CC027,1946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,4553,0,0,0,0,1203,0,230,18,684,0,0,643,9,35,216,372,0,13778,4505,0,0,18,20376,20270,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3766,0,0,0,0,0,0,0,0,0,0,0,0,0,9592,1991,0,1050,0,0,4,0,0,2645,3615,9,0,0,0,1504,0,0,0,0,0,0,0,0,105,7,5116,0,0,40,0,0,0,0,1921,72,26,0,1598,0,2035,0,0,0,0,0,2765,74,0,0,0,0,0,425,1233,34,737,0,0,0,0,0,860,0,0,328,995,0,2,0,0,0,14,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,0,0,0,0,0,0,0,0,0,181,3489,0,0,0,0,12944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3861,0,0,4890,1353,0,610,0,0,0
CC027,966,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,527,0,0,716,2469,0,0,0,0,4285,0,10457,0,2111,0,0,821,0,513,2071,6185,0,16149,3624,0,0,20,49950,4954,3778,0,0,0,0,0,0,0,0,0,0,0,0,434,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,35,0,15159,23571,1783,974,0,10,11,16,0,10736,6953,0,0,481,2,740,373,5,0,0,0,0,0,0,157,3,4752,0,1014,39,0,0,0,0,552,202,13,0,143,0,1083,0,0,0,0,0,926,381,0,13,20,6,0,532,3183,140,1007,0,0,0,0,0,707,14,3498,167,13662,0,91,0,0,0,30,126,0,0,0,0,0,0,681,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2750,0,0,0,0,5,0,0,0,0,16,503,0,0,0,0,7795,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7208,0,0,1467,5669,0,18,0,0,0
CC027,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,924,7683,0,0,0,16,2396,0,8535,3,1314,0,0,495,0,235,2005,2365,0,6671,4515,0,0,31,33084,5850,1526,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,3802,0,0,0,0,0,0,0,0,0,0,0,0,0,8233,27015,997,477,0,0,6,0,0,3406,2240,5,0,749,2,101,811,0,0,0,0,0,0,0,139,13,2153,0,8,30,0,0,0,0,741,139,18,0,136,0,2399,0,0,0,0,0,1127,48,0,7,94,0,7,86,1680,0,302,150,0,0,0,0,861,5,2434,53,8587,0,15,0,0,0,0,42,0,0,0,0,0,0,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,0,0,0,0,0,0,0,0,0,76,11324,0,0,0,0,9700,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11273,0,0,350,698,0,0,0,0,0
CC027,1449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,0,0,1084,2595,0,0,0,5,3083,0,2951,0,1287,0,0,610,5,620,2248,1212,0,10611,6627,0,0,49,41397,9303,840,0,0,0,0,0,0,0,0,0,0,0,0,421,0,0,0,451,0,2,0,0,0,0,0,0,0,0,0,0,0,11000,23550,1353,681,0,0,29,0,2,6695,9482,3,0,296,0,0,352,8,12,0,0,0,10,0,221,0,4584,0,79,25,0,0,0,0,3702,108,12,3,682,0,1485,19,0,0,0,0,1866,190,0,35,72,19,5,1180,4786,167,2165,0,0,0,0,3,392,21,4167,104,11901,0,20,0,0,0,40,77,0,0,0,0,0,0,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1633,0,0,0,0,0,0,0,0,0,24,3048,0,0,0,0,5698,38,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8088,0,0,5047,4874,0,16,0,0,0
