fold,seed,AUC,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,Train_procrustedCorr,Test_procrustedCorr,Sensitivity,Specificity,Pos.Pred.Value,Neg.Pred.Value,Precision,Recall,F1,Prevalence,Detection.Rate,Detection.Prevalence,Balanced.Accuracy,numFeatures,TrainlogLoss,TrainAUC,TrainprAUC,TrainAccuracy,TrainKappa,TrainF1,TrainSensitivity,TrainSpecificity,TrainPos_Pred_Value,TrainNeg_Pred_Value,TrainPrecision,TrainRecall,TrainDetection_Rate,TrainBalanced_Accuracy,method,mtry,positiveClass
1,2,0.666666666666667,0.7142857142857143,0.4615384615384616,0.2904208637373427,0.9633074338239145,0.5714285714285714,0.3593449279515458,0.4795001221869535,0.7139275444662995,0.810938343401063,1,0.5,0.6000000000000001,1,0.6,1,0.7499999999999999,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.75,4,0.6355302090204262,0.7325850340136054,0.6242719595219595,0.6645421245421246,0.3162045607009643,0.6002692862692862,0.5657142857142857,0.7471428571428571,0.6771904761904762,0.6707806637806637,0.6771904761904761,0.5657142857142857,0.2633846153846154,0.6564285714285715,rf,2,C3H
2,2,0.8125,0.75,0.5,0.3491442055871758,0.9681459737500557,0.5,0.14453125000000006,0.4795001221869535,0.6167933154932662,0.9024036629231905,0.5,1,1,0.6666666666666666,1,0.5,0.6666666666666666,0.5,0.25,0.25,0.75,5,0.7176847933079946,0.6614455782312925,0.5648811448141805,0.6522051282051282,0.29008182644052993,0.5915491175491175,0.579047619047619,0.71,0.6444761904761905,0.678022311022311,0.6444761904761904,0.579047619047619,0.2662710622710623,0.6445238095238095,rf,2,C3H
3,2,0.75,0.8571428571428571,0.7199999999999999,0.42127680295680486,0.9963897031380994,0.5714285714285714,0.124340805519566,1,0.5456806850173472,0.7427246763481666,1,0.75,0.75,1,0.75,1,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.875,3,0.7572515770808824,0.6676190476190476,0.5746957128519629,0.5858315018315018,0.1673891733937131,0.5408781806428865,0.5514285714285714,0.6142857142857143,0.5679841269841269,0.6203290043290043,0.5679841269841269,0.5514285714285714,0.25753846153846155,0.5828571428571429,rf,2,C3H
4,2,0.733333333333333,0.75,0.5294117647058824,0.3491442055871758,0.9681459737500557,0.625,0.36973506212234514,0.4795001221869535,0.5814473615913087,0.7397464304020241,1,0.6,0.6,1,0.6,1,0.7499999999999999,0.375,0.375,0.625,0.8,4,0.6488630753416837,0.7407482993197279,0.6234650902999117,0.7148131868131868,0.42224110771154555,0.6679367299367299,0.6304761904761904,0.7885714285714286,0.7614761904761905,0.7119567099567099,0.7614761904761905,0.6304761904761904,0.29727472527472526,0.7095238095238096,rf,2,C3H
5,2,0.8125,0.875,0.75,0.47349032912479344,0.9968402764687481,0.5,0.035156250000000014,1,0.33616125037278133,0.6707103319951436,0.75,1,1,0.8,1,0.75,0.8571428571428571,0.5,0.375,0.375,0.875,2,0.8090881802676467,0.7320068027210884,0.5900797781913854,0.6976117216117216,0.39478786334867455,0.6771264291264291,0.7257142857142858,0.6742857142857143,0.6591904761904762,0.7642799422799422,0.6591904761904762,0.7257142857142858,0.33183882783882784,0.7,rf,2,C3H
6,2,0.6875,0.75,0.5,0.3491442055871758,0.9681459737500557,0.5,0.14453125000000006,0.4795001221869535,0.6593592051137998,0.7572545963700047,1,0.5,0.6666666666666666,1,0.6666666666666666,1,0.8,0.5,0.5,0.75,0.75,5,0.6266213666508552,0.7163095238095238,0.6132171938511224,0.6616849816849817,0.3120486114230521,0.6065436785436785,0.5942857142857143,0.7171428571428572,0.6421904761904762,0.6895497835497836,0.6421904761904762,0.5942857142857143,0.2725274725274725,0.6557142857142857,rf,2,C3H
7,2,0.875,0.875,0.75,0.47349032912479344,0.9968402764687481,0.5,0.035156250000000014,1,0.5370439643212399,0.7933661915968558,0.75,1,1,0.8,1,0.75,0.8571428571428571,0.5,0.375,0.375,0.875,3,0.6829303497384375,0.7063605442176871,0.5939075803495446,0.6477655677655678,0.2856453534982049,0.5917595737595738,0.5933333333333333,0.6935714285714286,0.6239365079365079,0.6832236652236652,0.6239365079365079,0.5933333333333333,0.27095970695970695,0.643452380952381,rf,2,C3H
8,2,0.583333333333333,0.7142857142857143,0.36363636363636376,0.2904208637373427,0.9633074338239145,0.5714285714285714,0.3593449279515458,0.4795001221869535,0.5685747331544868,0.8699242506274583,0.3333333333333333,1,1,0.6666666666666666,1,0.3333333333333333,0.5,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.6666666666666666,5,0.5732660254546966,0.8094897959183673,0.6879509382812954,0.7173919413919414,0.4272260021764051,0.6620477039300569,0.6238095238095238,0.8,0.7468354978354979,0.7257532467532467,0.7468354978354979,0.6238095238095238,0.28902564102564104,0.7119047619047619,rf,2,C3H
9,2,0.8125,0.875,0.75,0.47349032912479344,0.9968402764687481,0.5,0.035156250000000014,1,0.9992229333431903,0.9997864155244889,1,0.75,0.8,1,0.8,1,0.888888888888889,0.5,0.5,0.625,0.875,229,0.7070928919212892,0.523452380952381,0.48441859595431025,0.5480586080586081,0.04028959141097963,0.3505668934240363,0.1419047619047619,0.895,0.5784313725490196,0.5514725274725274,0.5784313725490196,0.1419047619047619,0.06319413919413919,0.5184523809523809,rf,2,C3H
10,2,0.6,0.7777777777777778,0.55,0.3999064262836879,0.9718550265221018,0.5555555555555556,0.15749199315062565,1,0.5391004661202107,0.7607970327548756,0.75,0.8,0.75,0.8,0.75,0.75,0.75,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.775,4,0.6683044891965761,0.6849574829931973,0.5846558890844605,0.6375384615384615,0.26109542889204146,0.5725554184377714,0.5580952380952381,0.7014285714285714,0.6229307359307359,0.668011544011544,0.6229307359307359,0.5580952380952381,0.2604835164835165,0.6297619047619047,rf,2,C3H
1,3,0.6,0.6666666666666666,0.3414634146341463,0.2992950562085404,0.9251453685803082,0.5555555555555556,0.3743106756545341,1,0.3895247695947496,0.706902643329738,0.75,0.6,0.6,0.75,0.6,0.75,0.6666666666666665,0.4444444444444444,0.3333333333333333,0.5555555555555556,0.675,6,0.5380724937208677,0.8379591836734693,0.7155790837799767,0.7734505494505495,0.5415233740458765,0.7451907112495347,0.7428571428571429,0.7971428571428572,0.7833492063492064,0.7998354978354978,0.7833492063492064,0.7428571428571429,0.3458901098901099,0.77,rf,2,C3H
2,3,0.666666666666667,0.7142857142857143,0.4615384615384616,0.2904208637373427,0.9633074338239145,0.5714285714285714,0.3593449279515458,0.4795001221869535,0.40135581482532195,0.7859015871631618,1,0.5,0.6000000000000001,1,0.6,1,0.7499999999999999,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.75,9,0.4641560292356949,0.8793537414965986,0.7465606729579944,0.7859340659340659,0.5659475732750323,0.7539190809190809,0.7180952380952381,0.8442857142857143,0.8201746031746032,0.7805036075036075,0.8201746031746032,0.7180952380952381,0.33287912087912086,0.7811904761904762,rf,2,C3H
3,3,0.625,0.75,0.5,0.3491442055871758,0.9681459737500557,0.5,0.14453125000000006,0.4795001221869535,0.43259409111794006,0.7596967010201966,1,0.5,0.6666666666666666,1,0.6666666666666666,1,0.8,0.5,0.5,0.75,0.75,8,0.5098010311081549,0.8440986394557823,0.7192189487100201,0.7595164835164835,0.5088740004978418,0.7089210789210789,0.6799999999999999,0.8271428571428572,0.8012222222222222,0.766049728049728,0.8012222222222222,0.6799999999999999,0.31076923076923074,0.7535714285714286,rf,2,C3H
4,3,0.8125,0.875,0.75,0.47349032912479344,0.9968402764687481,0.5,0.035156250000000014,1,0.4481915424409516,0.8126159131417263,1,0.75,0.8,1,0.8,1,0.888888888888889,0.5,0.5,0.625,0.875,8,0.6011456948182926,0.7348469387755102,0.6314174512656655,0.6856410256410257,0.3679041090987951,0.6444477483301012,0.6457142857142857,0.7228571428571429,0.6886984126984127,0.718984126984127,0.6886984126984127,0.6457142857142857,0.2943003663003663,0.6842857142857143,rf,2,C3H
5,3,0.5,0.5,0,0.15701277048705803,0.8429872295129419,0.5,0.6367187499999998,1,0.7482952987963807,0.905340995193602,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.5,10,0.5436475117727578,0.8030612244897959,0.6808248160569589,0.6995604395604396,0.3923788677111163,0.6572770693358928,0.6666666666666666,0.7285714285714285,0.684984126984127,0.7433275613275613,0.6849841269841269,0.6666666666666666,0.303956043956044,0.6976190476190476,rf,2,C3H
6,3,0.625,0.75,0.5,0.3491442055871758,0.9681459737500557,0.5,0.14453125000000006,0.4795001221869535,0.375813386766705,0.7474251584059459,0.5,1,1,0.6666666666666666,1,0.5,0.6666666666666666,0.5,0.25,0.25,0.75,8,0.4984601094200105,0.8493197278911565,0.714106264766979,0.7407326007326007,0.4767917394928004,0.7084395604395605,0.7085714285714285,0.7692857142857142,0.7481746031746032,0.7705180375180375,0.7481746031746032,0.7085714285714285,0.32287179487179485,0.7389285714285715,rf,2,C3H
7,3,0.75,0.7142857142857143,0.4615384615384616,0.2904208637373427,0.9633074338239145,0.5714285714285714,0.3593449279515458,0.4795001221869535,0.5480547075839592,0.8024344399620515,1,0.5,0.6000000000000001,1,0.6,1,0.7499999999999999,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.75,7,0.5321584198310414,0.8210204081632653,0.6990434735568665,0.7565274725274725,0.5099954688318928,0.7227765567765567,0.6980952380952381,0.8107142857142857,0.7881904761904762,0.7689393939393939,0.7881904761904762,0.6980952380952381,0.3242930402930403,0.7544047619047619,rf,2,C3H
